,약용식물분포설명,약용식물복용방법설명,약용식물효과설명,약용식물번호,약용식물전경이미지URL,약용식물약재명,약용식물종명,약용식물이용부위이미지URL,약용식물이용이미지URL,식물분류명,식물생태설명,식물과명,식물종학명,이용방법설명
10,"한국(전국), 중국, 일본, 러시아, 몽고",(내복): 탕전(湯煎)하거나 산제로 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 달여서 상처 부위를 닦아낸다.,"감충, 나력, 복요통, 부종, 열독, 오한, 창종, 창진, 치통, 풍질, 하혈",260,http://api.forest.go.kr/openapi/image/2015260/20152601.jpg,서리(鼠李),갈매나무,http://api.forest.go.kr/openapi/image/2015260/20152602.jpg,http://api.forest.go.kr/openapi/image/2015260/20152603.jpg,피자식물/쌍자엽식물,"산골짜기에 자라는 낙엽관목으로 높이가 5m에 달하고 가지 끝이 가시로 변한다. 잎은 대생하며 점 첨두 예저이고 잎맥에 털이 있고 가장자리에 둔한 톱니가 있다. 꽃은 황록색으로 5∼6월에 가지 밑부분 잎겨드랑이에 달린다. 열매는 둥글고 1∼2개의 종자가 들어 있고 종자 뒷면에 홈이 진다.
 ☞ 연밥갈매나무에 비해 과실이 구형이다.",갈매나무과(Rhamnaceae),Rhamnus davurica Pall.,과실 성숙기에 채취하여 햇볕에 말린다.
11,"한국(전국), 중국, 일본, 러시아, 몽골",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 또는 가루 내어 상처 부위에 사용한다.,"관절염, 거풍습, 음 낭습, 음낭종독, 제습, 종기, 종독, 지통, 진통, 통기, 활혈",215,http://api.forest.go.kr/openapi/image/2015215/20152151.jpg,산야완두(山野豌豆),갈퀴나물,http://api.forest.go.kr/openapi/image/2015215/20152152.jpg,http://api.forest.go.kr/openapi/image/2015215/20152153.jpg,피자식물/쌍자엽식물,"풀밭에 자라는 다년생 덩굴식물로서 길이 80∼180㎝이고 줄기에 능선이 있어서 네모가 진다. 잎은 호생하고 짝수우상복엽으로서 10∼16개의 소엽은 장타원형 또는 피침형이며 예두 또는 둔두이고 예저이며 끝에 돌기가 있다. 꽃은 6∼9월에 총상화서로 달린다. 열매는 편평한 장타원형이다.
 ☞ 등갈퀴나물에 비해 잎이 약간 경질이고 소엽의 수가 적다.",콩과(Leguminosae),Vicia amoena Fisch. ex DC.,전초를 7∼9월에 채취하여 햇볕에 말린다.
12,"한국(전국), 중국, 일본, 러시아, 유럽, 아프리카","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 짓찧어 상처부위에 붙인다.","고혈압, 산어혈, 소종, 식도암, 요혈, 유방암, 자궁암, 중이염, 진통, 청습열, 타박상, 폐암, 피부암, 해독, 혈뇨",397,http://api.forest.go.kr/openapi/image/2015397/20153971.jpg,"팔선초(八仙草), 거거등(鋸鋸藤)",갈퀴덩굴,http://api.forest.go.kr/openapi/image/2015397/20153972.jpg,http://api.forest.go.kr/openapi/image/2015397/20153973.jpg,피자식물/쌍자엽식물,길가나 들에 자라는 1∼2년생 덩굴식물로서 길이 60∼90㎝이고 원줄기는 네모가 진다. 잎은 6∼8개가 윤생하고 도피침형이며 둔두이고 까락 같은 끝으로 되고 주맥에 잔가시가 있다. 꽃은 홍록색으로 5∼6월에 잎겨드랑이에서 취산화서로 달린다. 열매는 분과로 2개가 함께 붙어 있으며 갈고리 같은 털로 덮여있다. ☞ 큰잎갈퀴에 비해 1∼2년초로서 끝이 까락으로 끝난다.,꼭두서니과(Rubiaceae),Galium spurium var. echinospermon (Wallr.) Hayek,전초를 여름에 채취하여 햇볕에 말린다.
13,"한국(경기이남), 중국, 일본","(내복): 탕전(湯煎)하거나, 산제로 또는 생식한다.","간경변증, 감기, 강기, 고혈압, 구금불언, 구역증, 근골동통, 기관지염, 기관지천식, 동상, 비체, 소아이질, 식계육체, 야뇨, 유즙 결핍, 인플루엔자, 장염, 주독, 주부습진, 주체, 중풍, 지사, 지혈, 치통, 치핵, 타박상, 토혈, 토혈 각혈, 편도선비대, 폐렴, 하리, 한열왕래, 해수 등",325,http://api.forest.go.kr/openapi/image/2015325/20153251.jpg,"시체(柿蔕), 시병(柿餅)",감나무,http://api.forest.go.kr/openapi/image/2015325/20153252.jpg,http://api.forest.go.kr/openapi/image/2015325/20153253.jpg,피자식물/쌍자엽식물,재배하는 낙엽교목으로 높이가 14m에 달하고 잔가지에 갈색 털이 있다. 잎은 호생하며 딱딱하고 장난형 또는 도란형이며 점첨부 예저 또는 원저이고 톱니가 없다. 꽃은 황백색으로 5∼6월에 잎겨드랑이에 달린다. 열매는 장과로 난상 또는 편구형이다. ☞ 고욤나무보다 잎이 난형 또는 타원형으로 크다.,감나무과(Ebenaceae),Diospyros kaki Thunb.,성숙한 열매의 감꼭지를 따서 햇볕에 말린다.
14,"한국(전국), 페루, 칠레","(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 달여서 상처부위를 닦아 낸다.","건비, 건위, 고혈압, 과민성대장증후군, 구내염, 민감체질, 보기, 볼거리염, 소염, 완화, 위궤양, 인두염, 장위카타르, 절옹, 충치, 타박상, 태독, 피부염, 화상",385,http://api.forest.go.kr/openapi/image/2015385/20153851.jpg,양우(洋芋),감자,http://api.forest.go.kr/openapi/image/2015385/20153852.jpg,http://api.forest.go.kr/openapi/image/2015385/20153853.jpg,피자식물/쌍자엽식물,재배하는 다년초로 높이 60∼100㎝이고 지하경 끝이 덩이줄기로 되며 독특한 냄새가 난다. 잎은 호생하며 1회 우상복엽이고 소엽은 5∼9개이며 가장자리가 밋밋하다. 꽃은 백색 또는 자주색으로 6월 잎겨드랑이에서 자란다. 열매는 장과로 짙은 녹색이며 황록색으로 익는다.,가지과(Solanaceae),Solanum tuberosum L.,근경을 채취하여 서늘한 곳에 보관한다.
15,"한국(전국), 중국, 러시아, 몽고",(내복): 탕전(湯煎)하거나 가루약으로 또는 환제로 복용한다. (외용): 달여서 상처 부위를 닦아낸다. ☞ 고혈압환자는 신중히 사용하여야 한다.,"간염, 간질, 감기, 거담, 건망증, 건비위, 경결, 과실중독, 근골구급, 기관지확장증, 보혈, 비체, 소아경결, 소아천식, 식중독, 암내, 열격, 오풍, 오한, 위암, 윤폐, 중독, 진정, 진해, 청열, 치핵, 태독, 통기, 편도선비대, 폐기천식, 피부염, 해독, 해수, 화농, 활혈 후두염 등.",200,http://api.forest.go.kr/openapi/image/2015200/20152001.jpg,감초(甘草),감초,http://api.forest.go.kr/openapi/image/2015200/20152002.jpg,http://api.forest.go.kr/openapi/image/2015200/20152003.jpg,피자식물/쌍자엽식물,약용으로 재배하는 다년초로서 높이가 1m에 달하고 능선이 있고 선점이 산생한다. 잎은 어긋나기하고 홀수 우상복엽이며 소엽은 7∼17개씩이고 난형이며 원두 원저이며 양면에 흰털과 더불어 선점이 있다. 꽃은 담자색으로 7∼8월에 잎겨드랑이에 총상화서로 달린다. 열매 협과로 선형이며 종자는 6∼8개씩 들어있다. ☞ 개감초에 비해 가지에 백색 털이 밀생한다.,콩과(Leguminosae),Glycyrrhiza uralensis Fisch.,뿌리를 가을에 채취하여 햇볕에 말린다.
16,"한국(중남부), 중국",(내복): 탕전(湯煎)하거나 환제로 복용한다. ☞ 폐가 허하여 기침하는 경우는 금한다.,"감기, 강심, 강심제, 거담, 건위, 기관지염, 소담음, 소생, 실신, 열격, 온중산한, 위한토식, 이뇨, 이병, 인플루엔자, 열격, 최면제, 통경, 폐결핵, 폐렴, 폐한해수, 피부병, 해수, 해소, 혈기심통, 화비위",129,http://api.forest.go.kr/openapi/image/2015129/20151291.jpg,백개자(白芥子),갓,http://api.forest.go.kr/openapi/image/2015129/20151292.jpg,http://api.forest.go.kr/openapi/image/2015129/20151293.jpg,피자식물/쌍자엽식물,채소로 널리 심고 있는 일년초로서 높이가 1m에 달하며 윗부분에서 가지가 갈라진다. 뿌리에 돋는 잎은 타원형 또는 도란형이며 끝이 둥글고 밑부분이 좁아져서 짧은 잎자루가 되며 가장자리에 불규칙한 톱니가 있다. 꽃은 황색으로 봄부터 여름까지 총상화서로 달린다. 열매는 긴 각과이며 종자는 윤기가 있다. ☞ 줄기의 잎 기부가 줄기를 감싸지 않으며 잎은 흔히 흑자색을 띤다.,십자화과(Cruciferae),Brassica juncea (L.) Czern.,종자를 채취하여 햇볕에 말린다.
17,"한국(전국), 전세계 온대와 열대",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 수전하여 상처 부위를 닦아준다.,"민감체질, 옹종, 일체안병, 종독, 해열",481,http://api.forest.go.kr/openapi/image/2015481/20154811.jpg,구미초(狗尾草),강아지풀,http://api.forest.go.kr/openapi/image/2015481/20154812.jpg,http://api.forest.go.kr/openapi/image/2015481/20154813.jpg,피자식물 / 단자엽식물,"일년생 잡초로 높이 20∼70㎝이고 가지가 갈라지고 털이 없고 마디가 다소 높다. 잎은 밑부분이 잎집으로 되며 잎집의 가장자리에 잎혀와 더불어 줄로 돋은 털이 있다. 꽃은 연한 녹색 또는 자주색으로 7월에 피고 중축에 퍼진 털이 있다. 호영에는 잔 점과 옆 주름이 있다.
 ☞ 가을 강아지풀보다 꽃차례가 짧다.",벼과(Gramineae),Setaria viridis (L.) P.Beauv.,전초를 여름에 채취하여 햇볕에 말린다.
18,"한국(경기이북), 중국, 러시아","(내복): 탕전(湯煎)하거나, 환제 또는 산제로 복용한다.","감기, 거풍승습, 경련, 관절염, 관절통, 구풍, 배절풍, 안면신경마비, 이관절, 제습, 중풍, 지통, 진경, 치통, 풍, 풍비, 풍열, 한열왕래, 항바이러스, 해열, 해표산한, 현벽",310,http://api.forest.go.kr/openapi/image/2015310/20153101.jpg,강활(羌活),강활,http://api.forest.go.kr/openapi/image/2015310/20153102.jpg,http://api.forest.go.kr/openapi/image/2015310/20153103.jpg,피자식물/쌍자엽식물,"산골짜기에 자라는 다년초로 높이가 2m에 달하고 윗부분에 가지가 달린다. 잎은 호생하고 2회3출엽이며 열 편은 난상 타원형 또는 난형이며 결각상 톱니가 있다. 꽃은 백색으로 8∼9월에 원줄기와 가지 끝에 복산형화서로 달린다. 열매는 분과로 타원형이고 날개가 있다.
 ☞ 묏미나리에 비해 소엽이 좁고 빽빽이 나며 소엽병이 아주 짧다.",산형과(Umbelliferae),Ostericum praeteritum Kitag,뿌리를 가을에 채취하여 햇볕이나 火力으로 건조시킨다.
19,"한국(전국), 일본, 러시아","(내복): 탕전(湯煎)하거나 환제로 복용한다.
 ☞ 독성이 강함으로 허약한 사람이나 임산부는 사용을 금한다.","당뇨, 발한, 백선, 사독, 사하 투수 악성종양, 이뇨, 임질, 진통, 치통, 통경, 통이변, 풍습",234,http://api.forest.go.kr/openapi/image/2015234/20152341.jpg,감수(甘遂),개감수,http://api.forest.go.kr/openapi/image/2015234/20152342.jpg,http://api.forest.go.kr/openapi/image/2015234/20152343.jpg,피자식물/쌍자엽식물,"산야에 자라는 다년초로 높이 20∼40㎝이며 털이 없고 유액이 나오며 뿌리가 옆으로 벋는다. 잎은 호생하며 잎자루가 없고 타원형 또는 도피침형이며 둔두이고 주맥이 뒷면으로 나온다. 작은 꽃차례는 1개의 꽃처럼 보이며 1개의 암술로 된 암꽃과 1개의 수술로 된 몇 개의 꽃이 있다. 열매는 삭과로 둥글다.
 ☞ 흰 대극에 비해 선체가 초승달모양이다.",대극과(Euphorbiaceae),Euphorbia sieboldiana Morren & Decne.,전초를 채취하여 햇볕에 말린다.
20,"한국(전국), 아시아, 유럽, 아프리카, 아메리카","(내복): 탕전(湯煎)하거나, 환제 또는 가루약으로 복용한다. (외용): 물로 달여서 상처 부위에 김을 쐬고, 가루를 내어 개어 붙인다.","강장, 난관난소염, 단독, 당뇨, 매독, 발한, 수종, 양모발약, 열광, 열독증, 열병, 열질, 염증, 이뇨, 임질, 종독, 종창, 중풍, 지갈, 창종, 청열, 통리수도, 편두통, 풍비, 풍치, 피부 소양, 해독, 해열, 허약체질, 화상",488,http://api.forest.go.kr/openapi/image/2015488/20154881.jpg,부평(浮萍),개구리밥,http://api.forest.go.kr/openapi/image/2015488/20154882.jpg,http://api.forest.go.kr/openapi/image/2015488/20154883.jpg,피자식물 / 단자엽식물,"논이나 연못의 물 위에 떠서 사는 다년초로 가을에 모체에 생긴 둥근 겨울눈이 물속에 가라앉았다가 다음 해 떠올라 번식한다. 식물체는 잎처럼 생긴 넓은 도란형이며 원두 또는 둔두이며 손바닥 모양의 맥이 있다. 꽃은 백색으로 7∼8월에 피는 것이 간혹 있고 엽체의 뒷면에 생긴다.
 ☞ 좀개구리밥보다 엽상체 뒷면에 자색을 띠며 맥은 5∼11개이다.",개구리밥과(Lemnaceae),Spirodela polyrhiza (L.) Sch.,전초를 7∼9월에 채취하여 햇볕에 말린다.
21,"한국(전국), 북반구 널리 분포",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 끓여서 고(膏)를 만들어 바른다.,"간염, 결핵, 급성간염, 나력, 말라리아, 옹종, 종독, 진통, 창종, 청혈해독, 충독, 충치, 하리궤양, 학질, 해독, 황달",102,http://api.forest.go.kr/openapi/image/2015102/20151021.jpg,석룡예(石龍芮),개구리자리,http://api.forest.go.kr/openapi/image/2015102/20151022.jpg,http://api.forest.go.kr/openapi/image/2015102/20151023.jpg,피자식물/쌍자엽식물,논이나 습지에 자라는 이년 초로 높이가 50㎝에 달하며 비교적 털이 없고 윤채가 있다. 뿌리에서 돋는 잎은 모여나며 잎자루가 길고 신장형이며 3개로 깊게 갈라지고 밑부분은 벌어진 심장저이다. 꽃은 황색으로 4∼5월에 핀다. 열매는 수과로 넓은 도란형이고 털이 없다.,미나리아재비과(Ranunculaceae),Ranunculus sceleratus L.,전초를 개화기에 채취하여 햇볕에 말린다.
22,한국(전국) 특산식물,"(내복): 탕전(湯煎)하거나, 산제로 복용한다. (외용): 달여서 그 김을 상처부위에 쐬고 닦아낸다.","강심제, 견비통, 결핵, 옴, 월경이상, 이뇨, 임질, 종기, 부기, 중이염, 진통, 축농증, 치질, 치핵, 통경, 통리수도, 통풍, 피부병, 피부염, 해독, 해열",330,http://api.forest.go.kr/openapi/image/2015330/20153301.jpg,연교(連翹),개나리,http://api.forest.go.kr/openapi/image/2015330/20153302.jpg,http://api.forest.go.kr/openapi/image/2015330/20153303.jpg,피자식물/쌍자엽식물,산기슭에 자라는 낙엽관목으로 높이가 3m에 달하고 가지 끝이 밑으로 처지며 피목이 뚜렷하게 나타난다. 잎은 대생하며 난상 피침형 또는 장타원형이고 첨두 넓은 예저이다. 꽃은 밝은 황색으로 4월에 잎겨드랑이에 달린다. 열매는 삭과로 난형이며 사마귀 같은 돌기가 있다. ☞ 산개나리보다 가지에 능선이 있고 종자는 거의 불염성이다.,물푸레나무과(Oleaceae),Forsythia koreana (Rehder) Nakai,열매를 과실 성숙기에 채취하여 햇볕에 말린다.
23,"한국(전국), 중국, 일본, 대만, 러시아, 인도, 유럽, 북미",(내복): 탕전(湯煎)하여 복용한다. ☞ 말라리아 치료제로 개발됨,"감기, 개선, 건위, 경련, 구토, 소아 경풍, 안질, 양혈, 열질, 유두파열, 이뇨, 인플루엔자, 일체안병, 제습, 진경, 창종, 청열거풍, 최토제, 퇴허열, 풍습, 학질, 해성, 해열, 황달.",427,http://api.forest.go.kr/openapi/image/2015427/20154271.jpg,청호(靑蒿),개똥쑥,http://api.forest.go.kr/openapi/image/2015427/20154272.jpg,http://api.forest.go.kr/openapi/image/2015427/20154273.jpg,피자식물/쌍자엽식물,길가나 산기슭에 자라는 일년초로서 높이가 1m에 달하고 털이 없으며 강한 냄새가 난다. 잎은 호생하고 3회 우상복엽이며 표면에 가루 같은 잔털과 선점이 있고 중축이 빗살 모양이다. 꽃은 황록색으로 6∼8월에 두상화서가 이삭처럼 달려서 원추화서로 된다. 열매는 수과이다 . ☞ 개사철쑥과 비교하면 잎이 3회 우상으로 분열하고 가장자리가 밋밋하다.,국화과(Compositae),Artemisia annua L.,전초를 가을철 꽃이 필 때 채취하여 말린다.
